ID,LATITUDE,LONGTITUDE,ELEVATION,NAME,
ASN00002070,-16.8828,126.1267,416,PHILLIPS RANGE,
ASN00002071,-18.2303,127.6625,422,HALLS CREEK COMPARISON,
ASN00002075,-19.0378,126.0931,190,BULKA,
ASN00003000,-16.9806,122.6667,9,BEAGLE BAY,
ASN00003001,-17.2767,122.5711,153,COUNTRY DOWNS,
ASN00003002,-17.95,122.25,19,BROOME POST OFFICE,
ASN00003003,-17.9475,122.2353,7.4,BROOME AIRPORT,GSN     94203
ASN00003004,-16.3961,122.9278,25,CAPE LEVEQUE,
ASN00003005,-17.5731,125.065,120,FAIRFIELD STATION,
ASN00003006,-18.1919,125.5644,114,FITZROY CROSSING COMP.,
ASN00003007,-17.3044,123.6292,8,DERBY POST OFFICE,
ASN00003008,-17.9281,124.8108,120,ELLENDALE,
ASN00003009,-18.355,125.3033,100,JUBILEE DOWNS,
ASN00003010,-17.3897,124.3578,90,KIMBERLEY DOWNS,
ASN00003011,-17.7535,125.3807,220,LEOPOLD DOWNS,
ASN00003012,-18.0483,124.1728,60,LIVERINGA UPPER,
ASN00003013,-18.145,124.0275,80,LULUIGUI,
ASN00003014,-18.2914,125.5869,150,GOGO STATION,
ASN00003015,-17.3681,123.9956,75,MEDA,
ASN00003016,-18.0358,123.9286,40,MOUNT ANDERSON,
ASN00003017,-17.0522,125.7047,270,MOUNT HOUSE STATION,
ASN00003018,-18.1219,124.2692,60,MYROODAH,
ASN00003019,-17.3306,124.8167,80,NAPIER DOWNS,
ASN00003020,-18.5,124.3992,95,NERRIMA,
ASN00003021,-18.4875,124.8231,70,NOONKANBAH,
ASN00003022,-18.3817,125.2267,100,QUANBUN DOWNS,
ASN00003023,-17.9311,122.4725,15,ROEBUCK PLAINS,
ASN00003024,-17.9464,123.7383,20,UDIALLA,
ASN00003025,-16.09,123.5942,13,COCKATOO ISLAND,
ASN00003026,-17.6153,123.6483,5,YEEDA,
ASN00003027,-18.1386,125.7764,120,FOSSIL DOWNS,
